respond_id,TOD,food_stamps,unemployment,poverty,costburden_home,costburden_rent,overcrowding,log_rent,median_rent,rent_vacancy,renter_occ,med_contract_rent,med_rent_utility,houseprice_index,Black,Hispanic,Asian,child,senior,female,singlehousehold,veteran,nobachdegree
1,1,0.62,-1.9,-2.4,-1.051768694,3.837396831,1.035673188,-0.004814844016,-10,-0.1,7.8,14,-2.4,14.3,-8.6,0.1,-3.7,-2.6,-0.1,-4.1,0.7,-1.7,-19.6
2,1,5.2,-1.8,-0.6,7.01840988,5.834024466,6.172410522,0.07682666897,340,-0.2,2.8,240,10,-9.9,-2.4,5.7,1.3,1.8,1.1,-1.7,-3.4,-4.4,1.8
3,1,-1.1,-3.2,-2.6,-7.398843371,-2.8173932,-1.581027668,0.09930659881,325,3.2,-6.1,277,4.8,-9.9,-3.2,-2.8,5.5,-4.6,5.7,0.3,-7.5,-0.3,-5.3
4,1,2.76,-5.6,2.7,-25.37470309,-3.413287959,1.105962221,0.03577942807,169,-3.6,-5.2,177,-0.8,8.1,1.9,-5.4,10.1,3.8,-1.7,1.2,-3.6,-5.5,-0.5
5,1,-0.7,-6.8,-2.6,-10.73846571,-4.34578339,-0.128306499,0.1167341615,379,0,-2.3,320,5.9,-0.2,-10.7,-6.4,10,-1.5,-1.8,2.5,2.8,-1,-4
6,2,3.61,-10.7,-0.6,-5.43494,7.55321,0,0.09655963422,247,0.2,0.2,177,7,14.3,-5.1,-3.9,-8.2,1.1,2.8,-0.2,-2.3,0.8,-16.1
7,2,-3,-5.7,-11.3,-3.21204,-2.82286,2.014052875,0.1198072546,453,-1.3,-4,406,4.7,-9.9,-5.7,2.5,1.2,-0.9,2.5,-3.2,-2.8,0.8,2.4
8,2,-2.3,-2.3,-4.4,-4.94328,0.29547,-1.171335698,0.04505593533,149,3.6,-9.6,127,2.2,-9.9,-5.1,10.8,1.5,-7.1,1.2,-2.6,-2.7,-0.8,-25.6
9,2,-3.78,0.2,0,-10.16552,7.89414,-0.890264411,0.06577844305,200,5.5,-0.4,167,3.3,8.1,1.5,-3.7,10.4,2.7,-0.9,-3,-5.2,0.3,0
10,2,2.9,3,6.3,1.39682,-18.18025,0.6039943613,0.04676150355,167,-0.9,-7.4,262,-9.5,-0.2,-1.4,4.6,-4.1,-0.5,6.7,-0.8,-1.4,-3.2,8.9
